ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5MuHard->Res,dphi^0,lndphi^4,152869.53020000694,1249.387136719766
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^4,147607.49069018802,1246.69247221431
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^4,152904.6107420936,1249.2124941611607
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^4,150120.12330548392,1247.2133900444862
CV->FO,2C0_np->Res,dphi^0,lndphi^4,150359.12339874543,1247.2986831684152
CV->FO,2kappa_np->Res,dphi^0,lndphi^4,152213.20707008793,1249.0477527059345
CV->FO,2MuBeam->Res,dphi^0,lndphi^4,145663.49607427113,1247.1070627925849
CV->FO,2MuBF->Res,dphi^0,lndphi^4,161488.0635557393,1253.9209610405665
CV->FO,2MuCt->Res,dphi^0,lndphi^4,151629.79995990836,1248.2885532918308
CV->FO,2MuFac->Res,dphi^0,lndphi^4,161936.17611206774,1254.8106010964677
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^4,151841.4811726203,1328.0832131393552
CV->FO,2MuHard->Res,dphi^0,lndphi^4,152977.4975426471,1248.1345259476627
CV->FO,2MuSoft->Res,dphi^0,lndphi^4,150391.78322117295,1247.886443176752
CV->FO,2NuBeam->Res,dphi^0,lndphi^4,150174.68424378053,1247.3539487926457
CV->FO,2NuSoft->Res,dphi^0,lndphi^4,152947.93715101946,1249.516972111964
0p5MuF->FO,CV->Res,dphi^0,lndphi^4,150995.9445620014,1322.5920221304943
0p5MuRF->FO,CV->Res,dphi^0,lndphi^4,151541.7314114637,1731.9497694293264
0p5MuR->FO,CV->Res,dphi^0,lndphi^4,152854.24479080806,941.2674062678628
2MuF->FO,CV->Res,dphi^0,lndphi^4,152473.58496829483,857.2736713660504
2MuRF->FO,CV->Res,dphi^0,lndphi^4,151682.35036162625,1359.8819698329405
2MuR->FO,CV->Res,dphi^0,lndphi^4,151178.63089282077,1393.957226863579
CV->FO,CV->Res,dphi^0,lndphi^4,151695.53934234008,1248.6927961548079
CV->FO,0p5C0_np->Res,dphi^0,lndphi^5,-802057.6516918472,10260.03310498709
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^5,-789533.2238590305,10234.436629610724
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^5,-794568.6628424489,10260.881514034967
CV->FO,0p5MuBF->Res,dphi^0,lndphi^5,-717077.0407162234,10196.110290008879
CV->FO,0p5MuCt->Res,dphi^0,lndphi^5,-791773.0316666688,10241.404818983503
CV->FO,0p5MuFac->Res,dphi^0,lndphi^5,-680480.487786584,10165.763757159928
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^5,-793913.9465745579,9281.808550456437
CV->FO,0p5MuHard->Res,dphi^0,lndphi^5,-798724.9322650828,10248.270193312816
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^5,-771035.6383774084,10222.371481033906
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^5,-799197.6000577927,10246.51970204368
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^5,-782658.9624574989,10229.496318395652
CV->FO,2C0_np->Res,dphi^0,lndphi^5,-784832.8671353167,10229.491155198484
CV->FO,2kappa_np->Res,dphi^0,lndphi^5,-795443.0506065477,10244.541735695942
CV->FO,2MuBeam->Res,dphi^0,lndphi^5,-760681.9874457058,10225.498704684076
CV->FO,2MuBF->Res,dphi^0,lndphi^5,-845617.4353623005,10298.66160036299
CV->FO,2MuCt->Res,dphi^0,lndphi^5,-791602.1964292873,10236.024608682495
CV->FO,2MuFac->Res,dphi^0,lndphi^5,-847456.109346444,10305.028375292482
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^5,-790873.8107672931,11234.142542387228
CV->FO,2MuHard->Res,dphi^0,lndphi^5,-799246.2410606531,10233.679168279743
CV->FO,2MuSoft->Res,dphi^0,lndphi^5,-785748.7596719967,10232.177153475359
CV->FO,2NuBeam->Res,dphi^0,lndphi^5,-783518.6711322553,10237.992678952842
CV->FO,2NuSoft->Res,dphi^0,lndphi^5,-799837.4503386864,10252.935446701204
0p5MuF->FO,CV->Res,dphi^0,lndphi^5,-789678.538627136,11548.177376568829
0p5MuRF->FO,CV->Res,dphi^0,lndphi^5,-788899.1938583269,13164.28046545716
0p5MuR->FO,CV->Res,dphi^0,lndphi^5,-800122.3787431885,8160.277498613624
2MuF->FO,CV->Res,dphi^0,lndphi^5,-797615.6904516015,6810.461418304197
2MuRF->FO,CV->Res,dphi^0,lndphi^5,-793738.007342881,11789.795530924679
2MuR->FO,CV->Res,dphi^0,lndphi^5,-793850.6468027863,11796.074391710477
CV->FO,CV->Res,dphi^0,lndphi^5,-792697.6542568272,10244.918116246294
CV->FO,0p5C0_np->Res,dphi^1,lndphi^0,701.2004473475374,0.6269242188278943
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^0,702.0936750298731,0.6234692164690939
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^0,705.1083130733429,0.6315936627743902
CV->FO,0p5MuBF->Res,dphi^1,lndphi^0,693.2978070970807,0.6119055129749004
CV->FO,0p5MuCt->Res,dphi^1,lndphi^0,701.8247111263596,0.623736495982399
CV->FO,0p5MuFac->Res,dphi^1,lndphi^0,682.3917023546331,0.5974463735803877
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^0,693.2096137892275,0.4963639484021792
CV->FO,0p5MuHard->Res,dphi^1,lndphi^0,704.1639703897777,0.6250253896707831
CV->FO,0p5MuSoft->Res,dphi^1,lndphi^0,697.4345593247899,0.6185824844570155
CV->FO,0p5NuBeam->Res,dphi^1,lndphi^0,701.2800757486286,0.6257979436161
CV->FO,0p5NuSoft->Res,dphi^1,lndphi^0,702.5217548534367,0.6190494482873244
CV->FO,2C0_np->Res,dphi^1,lndphi^0,702.5076490408696,0.6194350482479078
CV->FO,2kappa_np->Res,dphi^1,lndphi^0,701.6676112925052,0.6245677889901289
CV->FO,2MuBeam->Res,dphi^1,lndphi^0,693.2747921680636,0.6154073712535978
CV->FO,2MuBF->Res,dphi^1,lndphi^0,708.6995249571982,0.6365574278945527
CV->FO,2MuCt->Res,dphi^1,lndphi^0,701.8428903454083,0.6233181589699273
CV->FO,2MuFac->Res,dphi^1,lndphi^0,712.0310825003612,0.6412660010878853
2MuFtran->FO,2MuFtran->Res,dphi^1,lndphi^0,711.2947984797561,0.6001366209399854
CV->FO,2MuHard->Res,dphi^1,lndphi^0,704.0767521783929,0.6247055077991946
CV->FO,2MuSoft->Res,dphi^1,lndphi^0,699.6659646204623,0.6223454068708257
CV->FO,2NuBeam->Res,dphi^1,lndphi^0,702.5304690286248,0.6192502185015266
CV->FO,2NuSoft->Res,dphi^1,lndphi^0,701.2938590394759,0.6258406179673034
0p5MuF->FO,CV->Res,dphi^1,lndphi^0,668.4555524025457,0.5189287329703361
0p5MuRF->FO,CV->Res,dphi^1,lndphi^0,713.8200999561036,1.1290696417137387
0p5MuR->FO,CV->Res,dphi^1,lndphi^0,751.4937263033514,0.6289133230701628
2MuF->FO,CV->Res,dphi^1,lndphi^0,730.013505563582,0.6649683216946498
2MuRF->FO,CV->Res,dphi^1,lndphi^0,686.9723199218117,0.5431044214731198
2MuR->FO,CV->Res,dphi^1,lndphi^0,661.6863793070993,0.5044246800784367
CV->FO,CV->Res,dphi^1,lndphi^0,701.8433020466446,0.6232228697212392
CV->FO,0p5C0_np->Res,dphi^1,lndphi^1,-246.97624099846843,0.8421653877174847
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^1,-247.52734425383966,0.8388597000511567
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^1,-250.466518694865,0.8455897933246471
CV->FO,0p5MuBF->Res,dphi^1,lndphi^1,-232.38341390085424,0.8293741935402132
CV->FO,0p5MuCt->Res,dphi^1,lndphi^1,-247.38129401839552,0.8387039436488478
CV->FO,0p5MuFac->Res,dphi^1,lndphi^1,-220.01232844976113,0.8173290838518473
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^1,-243.55099308612608,0.6552722452406549
CV->FO,0p5MuHard->Res,dphi^1,lndphi^1,-249.77735077886155,0.8402511875486337
CV->FO,0p5MuSoft->Res,dphi^1,lndphi^1,-241.8469604146818,0.8345566820756998
CV->FO,0p5NuBeam->Res,dphi^1,lndphi^1,-247.195513191413,0.8408836408623044
CV->FO,0p5NuSoft->Res,dphi^1,lndphi^1,-247.79145357089243,0.8351051702670862
CV->FO,2C0_np->Res,dphi^1,lndphi^1,-247.8351621072515,0.8355698048341279
CV->FO,2kappa_np->Res,dphi^1,lndphi^1,-247.3746216240732,0.8397520573121805
CV->FO,2MuBeam->Res,dphi^1,lndphi^1,-237.40122916450116,0.832043664416882
CV->FO,2MuBF->Res,dphi^1,lndphi^1,-258.3051337849077,0.8498768529681171
