"ScaleFO","ScaleRes","O1","O2","value","uncertainty"
"CV->FO","2NuSoft->Res","dphi^0","lndphi^5",-781072.0105684408,19516.02644126517
"0p5MuF->FO","CV->Res","dphi^0","lndphi^5",-778359.685320078,17897.68637335469
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^5",-769794.848988447,22126.374587127757
"0p5MuR->FO","CV->Res","dphi^0","lndphi^5",-778496.0314932456,23977.311817299316
"2MuF->FO","CV->Res","dphi^0","lndphi^5",-782027.9277522789,20753.18031572937
"2MuRF->FO","CV->Res","dphi^0","lndphi^5",-784852.3879425932,18067.812958819075
"2MuR->FO","CV->Res","dphi^0","lndphi^5",-784747.4422686255,16776.197365048312
"CV->FO","CV->Res","dphi^0","lndphi^5",-783099.795978146,19516.2251052101
"CV->FO","0p5C0_np->Res","dphi^1","lndphi^0",879.4852969978986,0.6126317364780143
"CV->FO","0p5kappa_np->Res","dphi^1","lndphi^0",880.3449475422667,0.6097598209564954
"CV->FO","0p5MuBeam->Res","dphi^1","lndphi^0",879.0307660016343,0.606833341784153
"CV->FO","0p5MuBF->Res","dphi^1","lndphi^0",880.5323279239333,0.6296585799968358
"CV->FO","0p5MuCt->Res","dphi^1","lndphi^0",880.1076471189547,0.6098377938935375
"CV->FO","0p5MuFac->Res","dphi^1","lndphi^0",877.1743335219337,0.6050777283879312
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^1","lndphi^0",879.1713509681381,0.4550089750644667
"CV->FO","0p5MuHard->Res","dphi^1","lndphi^0",882.3303318929466,0.611486737931643
"CV->FO","0p5MuSoft->Res","dphi^1","lndphi^0",879.2212829352836,0.6102925359133606
"CV->FO","0p5NuBeam->Res","dphi^1","lndphi^0",879.9834115494103,0.6099606270886878
"CV->FO","0p5NuSoft->Res","dphi^1","lndphi^0",880.2944327879744,0.6082045954804314
"CV->FO","2C0_np->Res","dphi^1","lndphi^0",880.7697602129631,0.6058021586146064
"CV->FO","2kappa_np->Res","dphi^1","lndphi^0",879.9371230284305,0.6106296480018653
"CV->FO","2MuBeam->Res","dphi^1","lndphi^0",878.4176569510614,0.6097802186666941
"CV->FO","2MuBF->Res","dphi^1","lndphi^0",882.5898271338226,0.61614133902097
"CV->FO","2MuCt->Res","dphi^1","lndphi^0",880.1203666702788,0.6094227641245067
"CV->FO","2MuFac->Res","dphi^1","lndphi^0",880.8444592371634,0.6107173146333723
"2MuFtran->FO","2MuFtran->Res","dphi^1","lndphi^0",882.1416817523202,0.5799154544939573
"CV->FO","2MuHard->Res","dphi^1","lndphi^0",878.4219505104821,0.6074756161115594
"CV->FO","2MuSoft->Res","dphi^1","lndphi^0",880.7999764792912,0.6123582669755169
"CV->FO","2NuBeam->Res","dphi^1","lndphi^0",880.3011862002438,0.6084068961307563
"CV->FO","2NuSoft->Res","dphi^1","lndphi^0",879.9918021570868,0.6099972337886265
"0p5MuF->FO","CV->Res","dphi^1","lndphi^0",861.12587245078,0.5019657096060552
"0p5MuRF->FO","CV->Res","dphi^1","lndphi^0",904.1461381135978,1.1366477167602054
"0p5MuR->FO","CV->Res","dphi^1","lndphi^0",919.5707538678473,0.5852416998039794
"2MuF->FO","CV->Res","dphi^1","lndphi^0",896.0195569318057,0.6497143917404202
"2MuRF->FO","CV->Res","dphi^1","lndphi^0",861.4305101466728,0.5211633951831216
"2MuR->FO","CV->Res","dphi^1","lndphi^0",843.9778437313876,0.4853186603810019
"CV->FO","CV->Res","dphi^1","lndphi^0",880.1260341324917,0.6093426491770355
"CV->FO","0p5C0_np->Res","dphi^1","lndphi^1",-219.69994471753108,0.7470500266201087
"CV->FO","0p5kappa_np->Res","dphi^1","lndphi^1",-220.1667720236477,0.7439270011500596
"CV->FO","0p5MuBeam->Res","dphi^1","lndphi^1",-215.14731618248697,0.7413850108306163
"CV->FO","0p5MuBF->Res","dphi^1","lndphi^1",-222.76513628739343,0.7627785954186674
"CV->FO","0p5MuCt->Res","dphi^1","lndphi^1",-220.06760621515974,0.7435847535025537
"CV->FO","0p5MuFac->Res","dphi^1","lndphi^1",-215.71421721251022,0.7398486059005427
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^1","lndphi^1",-220.0283987964092,0.5773151601314479
"CV->FO","0p5MuHard->Res","dphi^1","lndphi^1",-222.55939680473512,0.7456083270988821
"CV->FO","0p5MuSoft->Res","dphi^1","lndphi^1",-219.33699320181336,0.7441316013388027
"CV->FO","0p5NuBeam->Res","dphi^1","lndphi^1",-220.16798444508464,0.7443964721787598
"CV->FO","0p5NuSoft->Res","dphi^1","lndphi^1",-220.12452951861002,0.7422913602162642
"CV->FO","2C0_np->Res","dphi^1","lndphi^1",-220.45875368617806,0.7403358030837585
"CV->FO","2kappa_np->Res","dphi^1","lndphi^1",-220.05026778026513,0.7447430018138121
"CV->FO","2MuBeam->Res","dphi^1","lndphi^1",-218.7121332330974,0.7437956456695639
"CV->FO","2MuBF->Res","dphi^1","lndphi^1",-224.3712225719886,0.7497227661712946
"CV->FO","2MuCt->Res","dphi^1","lndphi^1",-220.07055460970065,0.7432861862907925
"CV->FO","2MuFac->Res","dphi^1","lndphi^1",-219.1134786975456,0.7450183616731252
"2MuFtran->FO","2MuFtran->Res","dphi^1","lndphi^1",-220.79066835929842,0.7009502030711006
"CV->FO","2MuHard->Res","dphi^1","lndphi^1",-217.90812475686994,0.742380852048328
"CV->FO","2MuSoft->Res","dphi^1","lndphi^1",-221.21759040949706,0.7462638616268074
"CV->FO","2NuBeam->Res","dphi^1","lndphi^1",-220.11113330435518,0.7422736811986076
"CV->FO","2NuSoft->Res","dphi^1","lndphi^1",-220.1933830658271,0.7444262975040662
"0p5MuF->FO","CV->Res","dphi^1","lndphi^1",-219.68688957947876,0.6285653897039635
"0p5MuRF->FO","CV->Res","dphi^1","lndphi^1",-212.42980188309224,1.337590415022697
"0p5MuR->FO","CV->Res","dphi^1","lndphi^1",-213.1932821550153,0.6488022782029519
"2MuF->FO","CV->Res","dphi^1","lndphi^1",-220.64731269452335,0.7423172121747076
"2MuRF->FO","CV->Res","dphi^1","lndphi^1",-226.5350518007047,0.6699238818415096
"2MuR->FO","CV->Res","dphi^1","lndphi^1",-226.08885717185268,0.6323963386591007
"CV->FO","CV->Res","dphi^1","lndphi^1",-220.0979498972988,0.7431572423966937
"CV->FO","0p5C0_np->Res","dphi^1","lndphi^2",889.6782791663624,1.41952355065201
"CV->FO","0p5kappa_np->Res","dphi^1","lndphi^2",889.8810876865767,1.4146239019806908
"CV->FO","0p5MuBeam->Res","dphi^1","lndphi^2",875.3028755447399,1.4114428619158985
"CV->FO","0p5MuBF->Res","dphi^1","lndphi^2",896.9328642852138,1.4432137632684134
"CV->FO","0p5MuCt->Res","dphi^1","lndphi^2",889.8518850218026,1.4139487047301593
"CV->FO","0p5MuFac->Res","dphi^1","lndphi^2",880.3168254391796,1.4095126806603544
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^1","lndphi^2",889.3068191218894,1.1025090787849383
"CV->FO","0p5MuHard->Res","dphi^1","lndphi^2",895.0412920450549,1.4172269009368192
"CV->FO","0p5MuSoft->Res","dphi^1","lndphi^2",888.7130727231668,1.414627153515217
"CV->FO","0p5NuBeam->Res","dphi^1","lndphi^2",890.0887754895572,1.4158370510030893
"CV->FO","0p5NuSoft->Res","dphi^1","lndphi^2",889.9351750855363,1.4122226585569082
"CV->FO","2C0_np->Res","dphi^1","lndphi^2",890.0861636877709,1.4094212980305072
"CV->FO","2kappa_np->Res","dphi^1","lndphi^2",889.9670169177517,1.416128735525888
"CV->FO","2MuBeam->Res","dphi^1","lndphi^2",887.8341254924512,1.4148217284025508
"CV->FO","2MuBF->Res","dphi^1","lndphi^2",900.1760149602601,1.4229874454600087
"CV->FO","2MuCt->Res","dphi^1","lndphi^2",889.8802967390391,1.4134429381450486
"CV->FO","2MuFac->Res","dphi^1","lndphi^2",885.9375563209977,1.4161469240702729
"2MuFtran->FO","2MuFtran->Res","dphi^1","lndphi^2",891.2740743572161,1.3260504158653306
"CV->FO","2MuHard->Res","dphi^1","lndphi^2",885.081436589178,1.4126840135783258
"CV->FO","2MuSoft->Res","dphi^1","lndphi^2",892.6808378372019,1.417941884516343
"CV->FO","2NuBeam->Res","dphi^1","lndphi^2",889.8954665509757,1.4119669837275932
"CV->FO","2NuSoft->Res","dphi^1","lndphi^2",890.1381527980141,1.4158778386908275
"0p5MuF->FO","CV->Res","dphi^1","lndphi^2",880.4258933103768,1.209219261480753
"0p5MuRF->FO","CV->Res","dphi^1","lndphi^2",900.8581923209924,2.4605923849983578
"0p5MuR->FO","CV->Res","dphi^1","lndphi^2",908.1290812582372,1.1463234864609537
"2MuF->FO","CV->Res","dphi^1","lndphi^2",897.7658198979086,1.3393461308940404
"2MuRF->FO","CV->Res","dphi^1","lndphi^2",881.5919697592625,1.3099737766248176
"2MuR->FO","CV->Res","dphi^1","lndphi^2",872.6552820409685,1.2619749947564172
"CV->FO","CV->Res","dphi^1","lndphi^2",889.913140349783,1.4131690293992123
"CV->FO","0p5C0_np->Res","dphi^1","lndphi^3",-1269.4972604904224,3.419109738916292
"CV->FO","0p5kappa_np->Res","dphi^1","lndphi^3",-1267.0487209634516,3.409411010772909
"CV->FO","0p5MuBeam->Res","dphi^1","lndphi^3",-1222.0434352787684,3.4034528400398667
"CV->FO","0p5MuBF->Res","dphi^1","lndphi^3",-1288.0436747260892,3.4663244519119525
